time,id,s2,s3,Qa3,Qa4,Qa8,Qa10,Qa16,index1,index1a,index1b,Qa3n,Qa4n,Qa8n,Qa10n,Qa16n,index1n,index1an,index1bn
200704,22,2,59,100,100,100,100,50,70.2960243692884,66.0269389911084,72.6427429899753,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753
200704,40,2,28,150,150,150,150,100,109.349371241115,110.044898318514,108.964114484963,150,100,100,200,100,101.53870186675,110.044898318514,96.8569906533004
200704,45,1,55,100,50,50,100,200,78.1066937436538,132.053877982217,48.4284953266502,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004
200704,69,1,26,150,200,150,50,100,101.53870186675,110.044898318514,96.8569906533004,150,100,150,200,200,124.970709989846,154.06285764592,108.964114484963
200704,98,1,63,100,200,150,150,100,109.349371241115,88.0359186548112,121.071238316626,150,150,100,0,100,78.1066937436538,110.044898318514,60.5356191583127
200704,104,1,35,200,200,100,100,50,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,138,1,27,100,150,100,100,100,85.9173631180192,88.0359186548112,84.7498668216379,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,152,2,32,50,150,150,150,100,93.7280324923846,66.0269389911084,108.964114484963,100,50,150,150,100,85.9173631180192,88.0359186548112,84.7498668216379
200704,177,1,60,100,100,100,100,200,93.7280324923846,132.053877982217,72.6427429899753,0,0,50,200,150,62.4853549949231,66.0269389911084,60.5356191583127
200704,180,1,40,100,100,100,100,50,70.2960243692884,66.0269389911084,72.6427429899753,50,50,100,100,100,62.4853549949231,66.0269389911084,60.5356191583127
200704,222,1,50,150,100,100,150,100,93.7280324923846,110.044898318514,84.7498668216379,50,100,150,100,100,78.1066937436538,66.0269389911084,84.7498668216379
200704,255,2,26,100,100,100,100,150,85.9173631180192,110.044898318514,72.6427429899753,150,100,100,50,150,85.9173631180192,132.053877982217,60.5356191583127
200704,259,1,55,100,150,150,200,100,109.349371241115,88.0359186548112,121.071238316626,100,150,150,150,200,117.160040615481,132.053877982217,108.964114484963
200704,264,1,60,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753
200704,304,2,60,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,309,1,32,100,200,150,200,150,124.970709989846,110.044898318514,133.178362148288,100,200,200,200,150,132.781379364212,110.044898318514,145.285485979951
200704,320,2,38,100,100,100,100,50,70.2960243692884,66.0269389911084,72.6427429899753,100,100,100,150,50,78.1066937436538,66.0269389911084,84.7498668216379
200704,334,1,44,150,150,150,150,150,117.160040615481,132.053877982217,108.964114484963,150,150,100,100,100,93.7280324923846,110.044898318514,84.7498668216379
200704,337,2,52,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753,200,150,150,150,200,132.781379364212,176.071837309622,108.964114484963
200704,368,1,52,100,150,150,150,150,109.349371241115,110.044898318514,108.964114484963,50,50,100,100,100,62.4853549949231,66.0269389911084,60.5356191583127
200704,384,1,60,150,150,150,200,50,109.349371241115,88.0359186548112,121.071238316626,50,100,150,200,100,93.7280324923846,66.0269389911084,108.964114484963
200704,389,1,60,100,100,200,200,150,117.160040615481,110.044898318514,121.071238316626,150,150,200,200,100,124.970709989846,110.044898318514,133.178362148288
200704,392,1,50,50,100,150,150,50,78.1066937436538,44.0179593274056,96.8569906533004,150,100,100,150,50,85.9173631180192,88.0359186548112,84.7498668216379
200704,401,1,50,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004,100,150,100,200,150,109.349371241115,110.044898318514,108.964114484963
200704,403,2,38,0,150,150,150,50,78.1066937436538,22.0089796637028,108.964114484963,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753
200704,406,2,58,0,100,150,100,100,70.2960243692884,44.0179593274056,84.7498668216379,200,150,150,200,100,124.970709989846,132.053877982217,121.071238316626
200704,420,1,59,150,150,100,200,100,109.349371241115,110.044898318514,108.964114484963,200,200,150,200,100,132.781379364212,132.053877982217,133.178362148288
200704,433,2,50,100,100,150,100,50,78.1066937436538,66.0269389911084,84.7498668216379,150,200,150,200,100,124.970709989846,110.044898318514,133.178362148288
200704,456,1,37,100,200,200,200,150,132.781379364212,110.044898318514,145.285485979951,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753
200704,457,2,50,150,100,100,150,100,93.7280324923846,110.044898318514,84.7498668216379,100,100,100,150,150,93.7280324923846,110.044898318514,84.7498668216379
200704,465,2,36,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004,0,0,150,100,150,62.4853549949231,66.0269389911084,60.5356191583127
200704,480,2,54,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004
200704,507,2,29,100,100,100,200,100,93.7280324923846,88.0359186548112,96.8569906533004,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,513,1,60,50,100,100,150,50,70.2960243692884,44.0179593274056,84.7498668216379,50,100,100,100,100,70.2960243692884,66.0269389911084,72.6427429899753
200704,524,1,22,100,150,150,150,100,101.53870186675,88.0359186548112,108.964114484963,100,150,100,100,150,93.7280324923846,110.044898318514,84.7498668216379
200704,551,1,29,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004,150,100,100,200,50,93.7280324923846,88.0359186548112,96.8569906533004
200704,562,1,24,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004
200704,569,1,48,50,100,100,200,100,85.9173631180192,66.0269389911084,96.8569906533004,50,0,200,200,100,85.9173631180192,66.0269389911084,96.8569906533004
200704,573,1,24,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004,200,100,150,200,100,117.160040615481,132.053877982217,108.964114484963
200704,624,2,59,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,150,150,100,100,100,93.7280324923846,110.044898318514,84.7498668216379
200704,631,2,25,100,150,200,200,100,117.160040615481,88.0359186548112,133.178362148288,100,150,150,200,150,117.160040615481,110.044898318514,121.071238316626
200704,641,2,54,150,100,150,100,100,93.7280324923846,110.044898318514,84.7498668216379,200,150,100,150,150,117.160040615481,154.06285764592,96.8569906533004
200704,644,1,25,150,200,150,100,150,117.160040615481,132.053877982217,108.964114484963,50,0,50,0,150,39.0533468718269,88.0359186548112,12.1071238316626
200704,653,2,55,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,100,100,150,200,200,117.160040615481,132.053877982217,108.964114484963
200704,658,2,23,100,200,150,200,100,117.160040615481,88.0359186548112,133.178362148288,150,100,150,200,150,117.160040615481,132.053877982217,108.964114484963
200704,660,2,24,100,150,150,200,150,117.160040615481,110.044898318514,121.071238316626,100,150,150,200,100,109.349371241115,88.0359186548112,121.071238316626
200704,663,1,50,150,150,200,200,100,124.970709989846,110.044898318514,133.178362148288,100,200,200,200,100,124.970709989846,88.0359186548112,145.285485979951
200704,675,1,60,100,150,150,150,150,109.349371241115,110.044898318514,108.964114484963,100,100,100,150,100,85.9173631180192,88.0359186548112,84.7498668216379
200704,680,2,64,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004,100,100,150,100,50,78.1066937436538,66.0269389911084,84.7498668216379
200704,696,2,60,150,150,150,150,150,117.160040615481,132.053877982217,108.964114484963,100,100,150,200,200,117.160040615481,132.053877982217,108.964114484963
200704,709,1,50,150,100,100,200,100,101.53870186675,110.044898318514,96.8569906533004,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963
200704,710,1,50,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963,150,150,100,150,100,101.53870186675,110.044898318514,96.8569906533004
200704,721,1,21,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963,200,200,100,100,150,117.160040615481,154.06285764592,96.8569906533004
200704,733,2,33,100,150,200,200,100,117.160040615481,88.0359186548112,133.178362148288,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004
200704,782,2,56,150,150,150,150,100,109.349371241115,110.044898318514,108.964114484963,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963
200704,834,1,37,150,100,200,200,100,117.160040615481,110.044898318514,121.071238316626,100,100,150,150,200,109.349371241115,132.053877982217,96.8569906533004
200704,846,2,41,200,100,150,200,0,101.53870186675,88.0359186548112,108.964114484963,100,100,100,150,100,85.9173631180192,88.0359186548112,84.7498668216379
200704,859,1,53,150,150,150,200,100,117.160040615481,110.044898318514,121.071238316626,150,100,100,150,50,85.9173631180192,88.0359186548112,84.7498668216379
200704,892,2,24,150,100,150,150,50,93.7280324923846,88.0359186548112,96.8569906533004,200,200,100,200,150,132.781379364212,154.06285764592,121.071238316626
200704,901,1,25,100,100,150,100,200,101.53870186675,132.053877982217,84.7498668216379,100,200,150,200,150,124.970709989846,110.044898318514,133.178362148288
200704,1062,1,25,150,150,150,100,150,109.349371241115,132.053877982217,96.8569906533004,100,50,100,150,150,85.9173631180192,110.044898318514,72.6427429899753
200704,1110,1,39,150,200,150,200,100,124.970709989846,110.044898318514,133.178362148288,100,150,150,150,100,101.53870186675,88.0359186548112,108.964114484963
200704,1118,2,25,50,150,150,50,100,78.1066937436538,66.0269389911084,84.7498668216379,100,100,100,100,50,70.2960243692884,66.0269389911084,72.6427429899753
200704,1125,2,20,100,150,150,200,150,117.160040615481,110.044898318514,121.071238316626,100,100,200,100,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,1157,2,22,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963,150,100,150,200,50,101.53870186675,88.0359186548112,108.964114484963
200704,1163,1,52,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963,150,100,100,200,100,101.53870186675,110.044898318514,96.8569906533004
200704,1165,2,36,150,100,150,200,100,109.349371241115,110.044898318514,108.964114484963,100,100,100,150,150,93.7280324923846,110.044898318514,84.7498668216379
200704,1211,2,65,100,100,50,100,100,70.2960243692884,88.0359186548112,60.5356191583127,100,100,100,100,150,85.9173631180192,110.044898318514,72.6427429899753
200704,1221,1,21,100,150,150,150,50,93.7280324923846,66.0269389911084,108.964114484963,100,50,150,100,150,85.9173631180192,110.044898318514,72.6427429899753
200704,1258,1,32,100,150,200,200,100,117.160040615481,88.0359186548112,133.178362148288,50,150,100,200,100,93.7280324923846,66.0269389911084,108.964114484963
200704,1262,1,30,100,150,150,200,100,109.349371241115,88.0359186548112,121.071238316626,50,50,150,150,50,70.2960243692884,44.0179593274056,84.7498668216379
200704,1269,2,45,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,100,100,150,100,100,85.9173631180192,88.0359186548112,84.7498668216379
200704,1270,2,30,150,200,150,200,100,124.970709989846,110.044898318514,133.178362148288,150,50,150,200,100,101.53870186675,110.044898318514,96.8569906533004
200704,1276,1,53,0,0,150,200,100,70.2960243692884,44.0179593274056,84.7498668216379,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753
200704,1279,1,56,100,150,100,150,100,93.7280324923846,88.0359186548112,96.8569906533004,0,50,50,150,100,54.6746856205577,44.0179593274056,60.5356191583127
200704,1298,2,48,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963
200704,1360,2,60,150,100,150,150,50,93.7280324923846,88.0359186548112,96.8569906533004,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963
200704,1366,1,34,100,100,100,150,100,85.9173631180192,88.0359186548112,84.7498668216379,100,100,150,150,150,101.53870186675,110.044898318514,96.8569906533004
200704,1367,1,63,150,100,150,200,100,109.349371241115,110.044898318514,108.964114484963,150,150,150,150,50,101.53870186675,88.0359186548112,108.964114484963
200704,1383,2,29,100,100,150,200,50,93.7280324923846,66.0269389911084,108.964114484963,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,1388,2,44,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753,0,100,100,100,100,62.4853549949231,44.0179593274056,72.6427429899753
200704,1402,1,55,100,100,100,150,100,85.9173631180192,88.0359186548112,84.7498668216379,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753
200704,1406,1,45,100,100,150,200,100,101.53870186675,88.0359186548112,108.964114484963,100,200,100,200,100,109.349371241115,88.0359186548112,121.071238316626
200704,1427,2,26,200,150,100,200,100,117.160040615481,132.053877982217,108.964114484963,100,100,150,200,150,109.349371241115,110.044898318514,108.964114484963
200704,1446,2,55,100,100,150,150,100,93.7280324923846,88.0359186548112,96.8569906533004,150,150,150,200,150,124.970709989846,132.053877982217,121.071238316626
200704,1456,2,38,100,150,150,150,150,109.349371241115,110.044898318514,108.964114484963,100,150,150,200,100,109.349371241115,88.0359186548112,121.071238316626
200704,1477,2,47,150,150,200,200,100,124.970709989846,110.044898318514,133.178362148288,150,100,150,200,150,117.160040615481,132.053877982217,108.964114484963
200704,1480,1,49,100,100,150,100,100,85.9173631180192,88.0359186548112,84.7498668216379,50,50,100,150,100,70.2960243692884,66.0269389911084,72.6427429899753
